sku,imagen
78072749957,"https://source.unsplash.com/400x400/?Cinta,Antideslizante,Northon,50mm,X,5m"
14-442,"https://source.unsplash.com/400x400/?Corta,Tubos,De,Pvc,Para,Trabajo,Pesado,42mm,Stanley"
40608950,"https://source.unsplash.com/400x400/?Disco,4,1/2'',Multiprop.,Truper,Multi,Material,Madera,Metal"
ML320/220,"https://source.unsplash.com/400x400/?Corta,Cesped,Pasto,1000w,Eléctrica,Energy,Ml320"
HTBG08,"https://source.unsplash.com/400x400/?Bolso,De,Herramientas,16,,Ingco,,16,Bolsillos"
42172335,"https://source.unsplash.com/400x400/?Fresa,Para,Router,Rebajadora,1-1/4,Truper,"
803-5220,"https://source.unsplash.com/400x400/?Llave,Combinada,1b,Gedore,1.1/2"
548-0905,"https://source.unsplash.com/400x400/?Mecha,Starrett,Dch0200-g,Sierra,Copa"
16-873,"https://source.unsplash.com/400x400/?Cincel,Biselado,De,1/2,Pulgada,Y,12,Mm,Para,Stanley,Wood"
180201,"https://source.unsplash.com/400x400/?Juego,De,Macho,M3,X,0,5,-,3,Pzs,-,Tres,Triangulos,-,Armhel"
WLN2520,"https://source.unsplash.com/400x400/?Inflador,Compresor,A,Bateria,Wadfow,Wln2520"
86-407,"https://source.unsplash.com/400x400/?Extensor,Para,Enchufe,De,5,Con,Enchufe,-,Stanley,Plateado"
96-225,"https://source.unsplash.com/400x400/?Pela,Cables,3,En,1,Stanley"
HLL301201,"https://source.unsplash.com/400x400/?Nivel,Laser,360,3d,Verde,+,Bateria,35mts,Ingco,Hll301201,*ub"
BS200,"https://source.unsplash.com/400x400/?Lijadora,Orbital,200w,1/4,Hoja,Black+decker"
WTC1K05,"https://source.unsplash.com/400x400/?Disco,Madera,7,1/4,40,Dientes,Wadfow"
84-015,"https://source.unsplash.com/400x400/?Stanley,84-015,-,Unidad,-,1"
DM36002,"https://source.unsplash.com/400x400/?Multitester,Ingco,Digital,Industrial,600v"
RH10506,"https://source.unsplash.com/400x400/?Rotomartillo,1050w,4.5,J,Ingco,Rh10506"
019-5700,"https://source.unsplash.com/400x400/?Rotomartillo,20v,Sds,Plus,(sin,Batería,Ni,Cargador),Hyundai"
HIPP28250,"https://source.unsplash.com/400x400/?Pinza,Aislada,Pico,Loro,10,Hipp28250,Ingco"
262196,"https://source.unsplash.com/400x400/?Pintura,En,Aerosol,Rust-oleum,Ultra,Cover,Azul,Spa,Brillante,430,Ml"
019-6313,"https://source.unsplash.com/400x400/?Amoladora,Angular,180mm,2300w,Hyundai"
290971,"https://source.unsplash.com/400x400/?Fijador,Sellador,Gris,Zinsser,Bulls,Eye,1-2-3,Primer,421ml"
802-5200,"https://source.unsplash.com/400x400/?Llave,Combinada,25,Mm,-,002,520,-,Gedore"
180742,"https://source.unsplash.com/400x400/?Dado,Terraja,3,Triang,3/4,X16c1.1/2,Unf,"
iw1115,"https://source.unsplash.com/400x400/?Mecha,Alta,Velocidad,Hss,Irwin,11/64,"
10082,"https://source.unsplash.com/400x400/?Pinza,Para,Anillos,Seeger,Interna,Curva,7,Tolsen,10082"
ID7108,"https://source.unsplash.com/400x400/?Taladro,Atornillador,Percutor,710w,Ingco,Amarillo,50/60hz"
,"https://source.unsplash.com/400x400/?Fresa,Para,Router,Corte,Recto,3/4,Truper"
335341,"https://source.unsplash.com/400x400/?Aerosol,Rust,Oleum,Chalked,Pintura,Tizada,Blanco,Lino"
277-0040,"https://source.unsplash.com/400x400/?Rotomartillo,Sds,Plus,800w,Makita,"
019-6108,"https://source.unsplash.com/400x400/?Taladro,De,Impacto,Con,Percutor,Hyundai,Hyid600,13mm,600w,Azul,50,Hz"
69-120,"https://source.unsplash.com/400x400/?Destornillador,Pro,Punta,Estándar,1/4,,,X,6,,Stanley"
